PROVINCE_NAME,countw,count_want_land,area_rai_want_land,area_nga_want_land,area_wa_want_land,countowner,count_owner_land,area_rai_owner,area_nga_owner,area_wa_owner,province_name,area_rai_want_land_numeric,area_rai_want_land_has_placeholder,area_nga_want_land_numeric,area_nga_want_land_has_placeholder,area_rai_owner_numeric,area_rai_owner_has_placeholder,area_nga_owner_numeric,area_nga_owner_has_placeholder,count_gap_want_minus_owner
กรุงเทพมหานคร   ,164,39,0,2,53.0,36,1,0,2,53.0,กรุงเทพมหานคร,0,False,2,False,0,False,2,False,38
สมุทรปราการ   ,29,22,0,0,0.0,6,0,0,0,0.0,สมุทรปราการ,0,False,0,False,0,False,0,False,22
นนทบุรี   ,35,30,0,0,0.0,6,0,0,0,0.0,นนทบุรี,0,False,0,False,0,False,0,False,30
ปทุมธานี   ,44,72,1,0,0.0,2,1,1,0,0.0,ปทุมธานี,1,False,0,False,1,False,0,False,71
พระนครศรีอยุธยา   ,15,19,0,0,0.0,3,0,0,0,0.0,พระนครศรีอยุธยา,0,False,0,False,0,False,0,False,19
อ่างทอง   ,2,4,0,0,0.0,0,0,0,0,0.0,อ่างทอง,0,False,0,False,0,False,0,False,4
ลพบุรี   ,10,17,0,0,0.0,0,0,0,0,0.0,ลพบุรี,0,False,0,False,0,False,0,False,17
สิงห์บุรี   ,2,1,1,0,75.0,0,1,1,0,75.0,สิงห์บุรี,1,False,0,False,1,False,0,False,0
ชัยนาท   ,0,0,13,2,25.0,0,1,13,2,25.0,ชัยนาท,13,False,2,False,13,False,2,False,-1
สระบุรี,8,13,0,0,0.0,1,0,0,0,0.0,สระบุรี,0,False,0,False,0,False,0,False,13
ชลบุรี   ,36,35,3,3,79.0,5,1,3,3,79.0,ชลบุรี,3,False,3,False,3,False,3,False,34
ระยอง   ,16,21,16,2,56.99999999999999,2,2,16,2,56.99999999999999,ระยอง,16,False,2,False,16,False,2,False,19
จันทบุรี   ,10,14,0,0,0.0,1,0,0,0,0.0,จันทบุรี,0,False,0,False,0,False,0,False,14
ตราด   ,1,2,0,0,0.0,0,0,0,0,0.0,ตราด,0,False,0,False,0,False,0,False,2
ฉะเชิงเทรา   ,15,26,11,2,83.0,3,1,11,2,83.0,ฉะเชิงเทรา,11,False,2,False,11,False,2,False,25
ปราจีนบุรี   ,7,15,0,0,0.0,1,0,0,0,0.0,ปราจีนบุรี,0,False,0,False,0,False,0,False,15
นครนายก   ,3,28,15,0,2.0,0,4,15,0,2.0,นครนายก,15,False,0,False,15,False,0,False,24
สระแก้ว   ,5,5,60,0,0.0,0,1,60,0,0.0,สระแก้ว,60,False,0,False,60,False,0,False,4
นครราชสีมา   ,74,101,0,0,0.0,3,0,0,0,0.0,นครราชสีมา,0,False,0,False,0,False,0,False,101
บุรีรัมย์   ,7,8,0,0,0.0,0,0,0,0,0.0,บุรีรัมย์,0,False,0,False,0,False,0,False,8
