จังหวัด,จับคู่ได้,ผู้ประสงค์,เจ้าของที่ดิน,แปลงที่ดิน,province_name,จับคู่ได้_numeric,จับคู่ได้_has_placeholder,ผู้ประสงค์_numeric,ผู้ประสงค์_has_placeholder,เจ้าของที่ดิน_numeric,เจ้าของที่ดิน_has_placeholder,แปลงที่ดิน_numeric,แปลงที่ดิน_has_placeholder
กรุงเทพมหานคร   ,1,1,1,1,กรุงเทพมหานคร,1,False,1,False,1,False,1,False
สมุทรปราการ   ,-,-,-,-,สมุทรปราการ,,True,,True,,True,,True
นนทบุรี   ,-,-,-,-,นนทบุรี,,True,,True,,True,,True
ปทุมธานี   ,1,1,1,1,ปทุมธานี,1,False,1,False,1,False,1,False
พระนครศรีอยุธยา   ,-,-,-,-,พระนครศรีอยุธยา,,True,,True,,True,,True
อ่างทอง   ,-,-,-,-,อ่างทอง,,True,,True,,True,,True
ลพบุรี   ,-,-,-,-,ลพบุรี,,True,,True,,True,,True
สิงห์บุรี   ,1,1,1,1,สิงห์บุรี,1,False,1,False,1,False,1,False
ชัยนาท   ,-,-,-,-,ชัยนาท,,True,,True,,True,,True
สระบุรี,-,-,-,-,สระบุรี,,True,,True,,True,,True
ชลบุรี   ,-,-,-,-,ชลบุรี,,True,,True,,True,,True
ระยอง   ,-,-,-,-,ระยอง,,True,,True,,True,,True
จันทบุรี   ,-,-,-,-,จันทบุรี,,True,,True,,True,,True
ตราด   ,-,-,-,-,ตราด,,True,,True,,True,,True
ฉะเชิงเทรา   ,-,-,-,-,ฉะเชิงเทรา,,True,,True,,True,,True
ปราจีนบุรี   ,-,-,-,-,ปราจีนบุรี,,True,,True,,True,,True
นครนายก   ,1,3,1,1,นครนายก,1,False,3,False,1,False,1,False
สระแก้ว   ,-,-,-,-,สระแก้ว,,True,,True,,True,,True
นครราชสีมา   ,-,-,-,-,นครราชสีมา,,True,,True,,True,,True
บุรีรัมย์   ,-,-,-,-,บุรีรัมย์,,True,,True,,True,,True
สุรินทร์   ,-,-,-,-,สุรินทร์,,True,,True,,True,,True
ศรีสะเกษ   ,-,-,-,-,ศรีสะเกษ,,True,,True,,True,,True
อุบลราชธานี   ,-,-,-,-,อุบลราชธานี,,True,,True,,True,,True
ยโสธร   ,-,-,-,-,ยโสธร,,True,,True,,True,,True
ชัยภูมิ   ,-,-,-,-,ชัยภูมิ,,True,,True,,True,,True
อำนาจเจริญ   ,-,-,-,-,อำนาจเจริญ,,True,,True,,True,,True
หนองบัวลำภู   ,-,-,-,-,หนองบัวลำภู,,True,,True,,True,,True
ขอนแก่น   ,-,-,-,-,ขอนแก่น,,True,,True,,True,,True
อุดรธานี   ,-,-,-,-,อุดรธานี,,True,,True,,True,,True
เลย   ,-,-,-,-,เลย,,True,,True,,True,,True
หนองคาย   ,-,-,-,-,หนองคาย,,True,,True,,True,,True
มหาสารคาม   ,-,-,-,-,มหาสารคาม,,True,,True,,True,,True
ร้อยเอ็ด   ,-,-,-,-,ร้อยเอ็ด,,True,,True,,True,,True
กาฬสินธุ์   ,-,-,-,-,กาฬสินธุ์,,True,,True,,True,,True
สกลนคร   ,-,-,-,-,สกลนคร,,True,,True,,True,,True
นครพนม   ,-,-,-,-,นครพนม,,True,,True,,True,,True
มุกดาหาร   ,-,-,-,-,มุกดาหาร,,True,,True,,True,,True
เชียงใหม่   ,2,2,2,2,เชียงใหม่,2,False,2,False,2,False,2,False
ลำพูน   ,-,-,-,-,ลำพูน,,True,,True,,True,,True
ลำปาง   ,-,-,-,-,ลำปาง,,True,,True,,True,,True
อุตรดิตถ์   ,-,-,-,-,อุตรดิตถ์,,True,,True,,True,,True
แพร่   ,-,-,-,-,แพร่,,True,,True,,True,,True
น่าน   ,-,-,-,-,น่าน,,True,,True,,True,,True
พะเยา   ,-,-,-,-,พะเยา,,True,,True,,True,,True
เชียงราย   ,1,11,1,1,เชียงราย,1,False,11,False,1,False,1,False
แม่ฮ่องสอน   ,-,-,-,-,แม่ฮ่องสอน,,True,,True,,True,,True
นครสวรรค์   ,-,-,-,-,นครสวรรค์,,True,,True,,True,,True
อุทัยธานี   ,-,-,-,-,อุทัยธานี,,True,,True,,True,,True
กำแพงเพชร   ,-,-,-,-,กำแพงเพชร,,True,,True,,True,,True
ตาก   ,-,-,-,-,ตาก,,True,,True,,True,,True
สุโขทัย   ,-,-,-,-,สุโขทัย,,True,,True,,True,,True
พิษณุโลก   ,-,-,-,-,พิษณุโลก,,True,,True,,True,,True
พิจิตร   ,-,-,-,-,พิจิตร,,True,,True,,True,,True
เพชรบูรณ์   ,-,-,-,-,เพชรบูรณ์,,True,,True,,True,,True
ราชบุรี   ,-,-,-,-,ราชบุรี,,True,,True,,True,,True
กาญจนบุรี   ,-,-,-,-,กาญจนบุรี,,True,,True,,True,,True
สุพรรณบุรี   ,-,-,-,-,สุพรรณบุรี,,True,,True,,True,,True
นครปฐม   ,2,3,2,2,นครปฐม,2,False,3,False,2,False,2,False
สมุทรสาคร   ,-,-,-,-,สมุทรสาคร,,True,,True,,True,,True
สมุทรสงคราม   ,-,-,-,-,สมุทรสงคราม,,True,,True,,True,,True
เพชรบุรี   ,-,-,-,-,เพชรบุรี,,True,,True,,True,,True
ประจวบคีรีขันธ์   ,-,-,-,-,ประจวบคีรีขันธ์,,True,,True,,True,,True
