PROVINCE_NAME,countowner,count_owner_land,area_rai,area_nga,area_wa,province_name,area_rai_numeric,area_rai_has_placeholder,area_nga_numeric,area_nga_has_placeholder
กรุงเทพมหานคร   ,36,1,0,2,53.0,กรุงเทพมหานคร,0,False,2,False
สมุทรปราการ   ,6,0,0,0,0.0,สมุทรปราการ,0,False,0,False
นนทบุรี   ,6,0,0,0,0.0,นนทบุรี,0,False,0,False
ปทุมธานี   ,2,1,1,0,0.0,ปทุมธานี,1,False,0,False
พระนครศรีอยุธยา   ,3,0,0,0,0.0,พระนครศรีอยุธยา,0,False,0,False
อ่างทอง   ,0,0,0,0,0.0,อ่างทอง,0,False,0,False
ลพบุรี   ,0,0,0,0,0.0,ลพบุรี,0,False,0,False
สิงห์บุรี   ,0,1,1,0,75.0,สิงห์บุรี,1,False,0,False
ชัยนาท   ,0,1,13,2,25.0,ชัยนาท,13,False,2,False
สระบุรี,1,0,0,0,0.0,สระบุรี,0,False,0,False
ชลบุรี   ,5,1,3,3,79.0,ชลบุรี,3,False,3,False
ระยอง   ,2,2,16,2,56.99999999999999,ระยอง,16,False,2,False
จันทบุรี   ,1,0,0,0,0.0,จันทบุรี,0,False,0,False
ตราด   ,0,0,0,0,0.0,ตราด,0,False,0,False
ฉะเชิงเทรา   ,3,1,11,2,83.0,ฉะเชิงเทรา,11,False,2,False
ปราจีนบุรี   ,1,0,0,0,0.0,ปราจีนบุรี,0,False,0,False
นครนายก   ,0,4,15,0,2.0,นครนายก,15,False,0,False
สระแก้ว   ,0,1,60,0,0.0,สระแก้ว,60,False,0,False
นครราชสีมา   ,3,0,0,0,0.0,นครราชสีมา,0,False,0,False
บุรีรัมย์   ,0,0,0,0,0.0,บุรีรัมย์,0,False,0,False
สุรินทร์   ,1,0,0,0,0.0,สุรินทร์,0,False,0,False
ศรีสะเกษ   ,4,0,0,0,0.0,ศรีสะเกษ,0,False,0,False
อุบลราชธานี   ,1,1,17,0,40.0,อุบลราชธานี,17,False,0,False
ยโสธร   ,1,0,0,0,0.0,ยโสธร,0,False,0,False
ชัยภูมิ   ,2,0,0,0,0.0,ชัยภูมิ,0,False,0,False
อำนาจเจริญ   ,0,0,0,0,0.0,อำนาจเจริญ,0,False,0,False
หนองบัวลำภู   ,0,0,0,0,0.0,หนองบัวลำภู,0,False,0,False
ขอนแก่น   ,6,4,19,0,79.0,ขอนแก่น,19,False,0,False
อุดรธานี   ,2,0,0,0,0.0,อุดรธานี,0,False,0,False
เลย   ,1,0,0,0,0.0,เลย,0,False,0,False
หนองคาย   ,1,0,0,0,0.0,หนองคาย,0,False,0,False
มหาสารคาม   ,0,0,0,0,0.0,มหาสารคาม,0,False,0,False
ร้อยเอ็ด   ,0,0,0,0,0.0,ร้อยเอ็ด,0,False,0,False
กาฬสินธุ์   ,1,3,26,3,88.0,กาฬสินธุ์,26,False,3,False
สกลนคร   ,0,0,0,0,0.0,สกลนคร,0,False,0,False
นครพนม   ,3,4,81,3,73.0,นครพนม,81,False,3,False
มุกดาหาร   ,0,0,0,0,0.0,มุกดาหาร,0,False,0,False
เชียงใหม่   ,15,3,2,2,52.0,เชียงใหม่,2,False,2,False
ลำพูน   ,0,2,13,3,13.0,ลำพูน,13,False,3,False
ลำปาง   ,1,0,0,0,0.0,ลำปาง,0,False,0,False
อุตรดิตถ์   ,1,0,0,0,0.0,อุตรดิตถ์,0,False,0,False
แพร่   ,0,0,0,0,0.0,แพร่,0,False,0,False
น่าน   ,1,0,0,0,0.0,น่าน,0,False,0,False
พะเยา   ,1,0,0,0,0.0,พะเยา,0,False,0,False
เชียงราย   ,0,28,89,2,24.0,เชียงราย,89,False,2,False
แม่ฮ่องสอน   ,1,1,4,2,28.000000000000004,แม่ฮ่องสอน,4,False,2,False
นครสวรรค์   ,1,0,0,0,0.0,นครสวรรค์,0,False,0,False
อุทัยธานี   ,0,0,0,0,0.0,อุทัยธานี,0,False,0,False
กำแพงเพชร   ,0,0,0,0,0.0,กำแพงเพชร,0,False,0,False
ตาก   ,1,1,58,1,24.0,ตาก,58,False,1,False
สุโขทัย   ,0,0,0,0,0.0,สุโขทัย,0,False,0,False
พิษณุโลก   ,1,1,7,1,23.0,พิษณุโลก,7,False,1,False
พิจิตร   ,0,0,0,0,0.0,พิจิตร,0,False,0,False
